Generated by http://statistics.gov.scot,2024-09-09T17:52:02+00:00,,
http://statistics.gov.scot/data/bus-accessibility,Bus Accessibility,,
measure type,Score,,
Weekday/Weekend,Weekday,,
Measure (cell values): ,Score(Count),,
,,,
,,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2017,2019
http://statistics.gov.scot/id/statistical-geography/S01009308,Abbey Parks North,44.39,82.78
http://statistics.gov.scot/id/statistical-geography/S01009309,Abbey Parks South and Brucefield North West,47.2,93.87
http://statistics.gov.scot/id/statistical-geography/S01008686,Abbeyhill - 01,161.46,156.49
http://statistics.gov.scot/id/statistical-geography/S01008687,Abbeyhill - 02,6.11,11.6
http://statistics.gov.scot/id/statistical-geography/S01008688,Abbeyhill - 03,64.97,81.55
http://statistics.gov.scot/id/statistical-geography/S01009340,Abbeyview Central,23.14,42.88
http://statistics.gov.scot/id/statistical-geography/S01009338,Abbeyview East,23.42,42.97
http://statistics.gov.scot/id/statistical-geography/S01009345,Abbeyview Linburn,5.76,12.29
http://statistics.gov.scot/id/statistical-geography/S01009339,Abbeyview North,27.11,45.36
http://statistics.gov.scot/id/statistical-geography/S01009344,Abbeyview South East,16.91,27.24
http://statistics.gov.scot/id/statistical-geography/S01009341,Abbeyview West,17.26,27.04
http://statistics.gov.scot/id/statistical-geography/S01007027,Aberchirder and Whitehills - 01,4.5,5
http://statistics.gov.scot/id/statistical-geography/S01007028,Aberchirder and Whitehills - 02,0.75,0.83
http://statistics.gov.scot/id/statistical-geography/S01007029,Aberchirder and Whitehills - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007030,Aberchirder and Whitehills - 04,0.5,0.58
http://statistics.gov.scot/id/statistical-geography/S01007031,Aberchirder and Whitehills - 05,1.23,1.44
http://statistics.gov.scot/id/statistical-geography/S01009454,Aberdour,4.4,7.97
http://statistics.gov.scot/id/statistical-geography/S01009636,Aberhill,16.23,26.62
http://statistics.gov.scot/id/statistical-geography/S01011871,Aberuthven and Almondbank - 01,0.94,1.09
http://statistics.gov.scot/id/statistical-geography/S01011872,Aberuthven and Almondbank - 02,0.18,0.36
http://statistics.gov.scot/id/statistical-geography/S01011873,Aberuthven and Almondbank - 03,0.55,0.9
http://statistics.gov.scot/id/statistical-geography/S01011874,Aberuthven and Almondbank - 04,2.14,4.48
http://statistics.gov.scot/id/statistical-geography/S01011875,Aberuthven and Almondbank - 05,4.41,5.48
http://statistics.gov.scot/id/statistical-geography/S01006794,Aboyne and South Deeside - 01,0.54,0.54
http://statistics.gov.scot/id/statistical-geography/S01006795,Aboyne and South Deeside - 02,3.62,4.08
http://statistics.gov.scot/id/statistical-geography/S01006796,Aboyne and South Deeside - 03,1.3,1.49
http://statistics.gov.scot/id/statistical-geography/S01006797,Aboyne and South Deeside - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01006798,Aboyne and South Deeside - 05,0.32,0.4
http://statistics.gov.scot/id/statistical-geography/S01006799,Aboyne and South Deeside - 06,1.46,1.7
http://statistics.gov.scot/id/statistical-geography/S01006800,Aboyne and South Deeside - 07,0.08,0.06
http://statistics.gov.scot/id/statistical-geography/S01011760,Abronhill North - 01,28.94,32.72
http://statistics.gov.scot/id/statistical-geography/S01011761,Abronhill North - 02,5.74,21.45
http://statistics.gov.scot/id/statistical-geography/S01011762,Abronhill North - 03,14.56,15.69
http://statistics.gov.scot/id/statistical-geography/S01011763,Abronhill North - 04,17.92,16.58
http://statistics.gov.scot/id/statistical-geography/S01011764,Abronhill North - 05,13.75,14.75
http://statistics.gov.scot/id/statistical-geography/S01011765,Abronhill North - 06,3.07,4.26
http://statistics.gov.scot/id/statistical-geography/S01011755,Abronhill South - 01,37.37,40.8
http://statistics.gov.scot/id/statistical-geography/S01011756,Abronhill South - 02,20.85,24.26
http://statistics.gov.scot/id/statistical-geography/S01011757,Abronhill South - 03,17.91,17.94
http://statistics.gov.scot/id/statistical-geography/S01011758,Abronhill South - 04,11.16,10.94
http://statistics.gov.scot/id/statistical-geography/S01011759,Abronhill South - 05,19.53,19.09
http://statistics.gov.scot/id/statistical-geography/S01009372,Admiralty Central,40.43,54.63
http://statistics.gov.scot/id/statistical-geography/S01009367,Admiralty North,41.21,62.12
http://statistics.gov.scot/id/statistical-geography/S01009371,Admiralty North East,15.54,37.95
http://statistics.gov.scot/id/statistical-geography/S01009376,Admiralty South,59.15,75.67
http://statistics.gov.scot/id/statistical-geography/S01009375,Admiralty South East,48.21,60.48
http://statistics.gov.scot/id/statistical-geography/S01009374,Admiralty South West,28.27,31.32
http://statistics.gov.scot/id/statistical-geography/S01011663,Airdrie North - 01,3.53,3.61
http://statistics.gov.scot/id/statistical-geography/S01011664,Airdrie North - 02,7.12,4.25
http://statistics.gov.scot/id/statistical-geography/S01011665,Airdrie North - 03,8.95,11.52
http://statistics.gov.scot/id/statistical-geography/S01011666,Airdrie North - 04,4.43,5.54
http://statistics.gov.scot/id/statistical-geography/S01011667,Airdrie North - 05,4.36,4.1
http://statistics.gov.scot/id/statistical-geography/S01011668,Airdrie North - 06,2.48,2.34
http://statistics.gov.scot/id/statistical-geography/S01010239,Alexandra Parade - 01,29.34,26.24
http://statistics.gov.scot/id/statistical-geography/S01010240,Alexandra Parade - 02,51.94,53.52
http://statistics.gov.scot/id/statistical-geography/S01010241,Alexandra Parade - 03,46.9,47.82
http://statistics.gov.scot/id/statistical-geography/S01013223,Alexandria - 01,28.98,31.89
http://statistics.gov.scot/id/statistical-geography/S01013224,Alexandria - 02,16.74,16.53
http://statistics.gov.scot/id/statistical-geography/S01013225,Alexandria - 03,7.51,8.36
http://statistics.gov.scot/id/statistical-geography/S01013226,Alexandria - 04,4.8,4.8
http://statistics.gov.scot/id/statistical-geography/S01013227,Alexandria - 05,9.55,11.16
http://statistics.gov.scot/id/statistical-geography/S01011426,Allanton - Newmains Rural - 01,1.61,1.61
http://statistics.gov.scot/id/statistical-geography/S01011427,Allanton - Newmains Rural - 02,29.66,31.53
http://statistics.gov.scot/id/statistical-geography/S01011428,Allanton - Newmains Rural - 03,26.42,27.91
http://statistics.gov.scot/id/statistical-geography/S01011429,Allanton - Newmains Rural - 04,0.72,0.72
http://statistics.gov.scot/id/statistical-geography/S01007467,Alloa North - 01,18.67,25.04
http://statistics.gov.scot/id/statistical-geography/S01007468,Alloa North - 02,1.56,1.56
http://statistics.gov.scot/id/statistical-geography/S01007469,Alloa North - 03,2.48,2.65
http://statistics.gov.scot/id/statistical-geography/S01007470,Alloa North - 04,31.08,41.87
http://statistics.gov.scot/id/statistical-geography/S01007471,Alloa North - 05,14.13,18.88
http://statistics.gov.scot/id/statistical-geography/S01007472,Alloa North - 06,24.18,36.12
http://statistics.gov.scot/id/statistical-geography/S01007473,Alloa North - 07,21.47,30.61
http://statistics.gov.scot/id/statistical-geography/S01007474,Alloa North - 08,8.26,14.3
http://statistics.gov.scot/id/statistical-geography/S01007475,Alloa North - 09,9.46,13.3
http://statistics.gov.scot/id/statistical-geography/S01007461,Alloa South and East - 01,11.86,11.71
http://statistics.gov.scot/id/statistical-geography/S01007462,Alloa South and East - 02,14.39,14.42
http://statistics.gov.scot/id/statistical-geography/S01007463,Alloa South and East - 03,11.07,10.17
http://statistics.gov.scot/id/statistical-geography/S01007464,Alloa South and East - 04,2.27,2.55
http://statistics.gov.scot/id/statistical-geography/S01007465,Alloa South and East - 05,1.85,2.2
